N;CPUs;Time
20;1;53.078
20;2;26.592
20;3;18.616
20;4;13.313
20;5;10.740
20;6;10.711
20;7;7.989
20;8;8.018
20;9;7.990
20;10;5.423
20;11;5.412
20;12;5.421
20;13;5.360
20;14;5.435
20;15;5.371
20;16;5.351
20;17;5.337
20;18;5.385
20;19;5.334
20;20;2.841
40;1;106.244
40;2;53.117
40;3;37.218
40;4;26.579
40;5;21.343
40;6;18.652
40;7;15.989
40;8;13.337
40;9;13.335
40;10;10.773
40;11;10.760
40;12;10.750
40;13;10.658
40;14;7.996
40;15;8.031
40;16;8.017
40;17;8.015
40;18;8.002
40;19;8.057
40;20;5.407
80;1;212.295
80;2;106.285
80;3;71.987
80;4;53.219
80;5;42.582
80;6;37.227
80;7;
80;8;26.642
80;9;
80;10;
80;11;
80;12;
80;13;
80;14;
80;15;
80;16;13.355
80;17;
80;18;
80;19;
80;20;10.745